property_type,room_type,accommodates,bedrooms,price,number_of_reviews,review_scores_rating,calculated_host_listings_count,availability_30,minimum_nights,latitude,longitude,district
3,0,4,2.0,233.0,231,4.7,5,0,32,41.8933,-87.67641,91
29,2,2,2.0811539071168172,40.0,30,4.73,2,0,32,41.78475,-87.621,85
20,2,2,2.0811539071168172,63.0,58,4.45,2,0,32,41.78591,-87.62264,85
25,2,1,2.0811539071168172,118.0,13,4.77,6,30,5,41.81844,-87.61503,34
11,0,6,2.0,192.0,55,4.85,23,20,2,41.9435,-87.67674,60
25,2,2,2.0811539071168172,106.0,373,4.97,1,5,2,41.97654,-87.66111,25
20,2,2,2.0811539071168172,58.0,26,4.58,2,3,32,41.92616,-87.72051,50
20,2,2,2.0811539071168172,52.0,19,4.84,2,0,2,41.92902,-87.72025,50
11,0,10,4.0,275.0,53,4.7,23,19,2,41.9435,-87.67674,60
3,0,4,2.0,200.0,0,4.739273018648019,1,0,2,41.90921,-87.67849,92
11,0,6,2.0,196.0,47,4.81,23,19,2,41.93723,-87.6828,60
11,0,10,4.0,285.0,56,4.61,23,6,2,41.93723,-87.6828,60
11,0,4,1.0,240.0,79,4.76,23,20,2,41.92751,-87.65011,76
29,2,4,2.0811539071168172,107.0,71,4.85,19,27,2,41.94062,-87.75709,67
11,0,6,2.0,252.0,59,4.74,23,15,2,41.92751,-87.65011,76
11,0,10,4.0,285.0,91,4.62,23,14,2,41.92751,-87.65011,76
11,0,2,2.0811539071168172,148.0,225,4.97,2,6,3,41.901756,-87.671387,24
25,2,4,2.0811539071168172,58.0,517,4.73,11,13,1,41.88302,-87.7096,31
25,2,1,2.0811539071168172,35.0,10,5.0,4,18,60,41.93465,-87.73009,8
11,0,5,2.0,100.0,104,4.91,12,26,32,41.962921,-87.735283,42
3,0,2,1.0,94.0,659,4.97,2,0,1,41.90089,-87.66546,91
11,0,4,2.0,110.0,118,4.66,1,4,32,41.90358,-87.63414,70
7,0,2,1.0,329.0,77,4.99,1,23,32,41.9182,-87.69768,50
11,0,1,2.0,94.0,13,4.8,2,29,32,41.85469,-87.64912,52
20,2,2,2.0811539071168172,90.0,262,4.84,2,12,1,41.89834,-87.69155,81
29,2,2,2.0811539071168172,84.0,435,4.89,1,5,1,41.93595,-87.65148,45
36,1,2,1.0,302.0,44,4.98,11,11,3,41.97146,-87.66882,83
7,0,12,4.0,341.0,202,4.88,1,24,32,41.8932,-87.65892,91
6,0,3,1.0,94.0,40,4.45,1,28,32,41.78747,-87.71754,86
